name,link,release_date,expiry_date,hours,para
Understanding Hypertension: Treatment and Management,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"tember 30, 2016","eptember 30, 2019",Universal Activity Number (UAN) - 0607-0000-16-014-H01-P,"Hypertension (HTN) is a common disease that affects millions of Americans without any warning. It is defined as a persistent elevated blood pressure and is a significant risk factor for cardiovascular disease, thus early detection is imperative. Increasing screening and diagnosis of HTN, and improving control of BP with appropriate treatment are important preventative measures to reduce CV morbidity and mortality. Therefore, a systematic understanding of the management of HTN is essential for pharmacists working in direct patient care to help further improve HTN control."
Supporting Aging in Place: An Occupational Therapist's Toolkit,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"eptember 27, 2017","eptember 27, 2020","Monique Chabot, OTD, OTR/L, CAPS, CLIPP, ","This course is designed to assist occupational therapist and occupational therapy assistants in evaluating, planning and preparing their older adult clients to age in place. AOTA has identified aging in place and home modifications as an emerging niche in occupational therapy. This toolkit will highlight the role occupational therapy plays in aging in place. Also, each participant will gain the understanding and application of home modification concepts as well as identify resources and funding for home modification projects.  Because our aging clients have a desire to remain in their homes, this course will provide the necessary tools to enhance the quality of life for older adults to allow them to participate in meaningful activities and enable them to remain in their homes as they age and make the necessary modifications to do so. This course is an intermediate to advanced level course for clinicians working in the area of home modification and environmental safety."
The Role of the Pharmacist in the Opioid Crisis,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ovember 29, 2018","ovember 30, 2021",Universal Activity Number (UAN) - 0607-0000-18-043-H04-P,"Pharmacists in multiple practice settings are confronted daily with the need to strike an ethically acceptable balance between appropriate treatment of a patient's chronic pain and the avoidance of opioid addiction. This course will provide pharmacists with an understanding of the disease state of opioid use disorder, how opioids affect the brain, and the benefits of medically-assisted treatment and harm-reduction approaches in certain populations of patients. Pharmacists will gain an understanding of appropriate pain management and current guidelines for the prescribing of opioids and will review ways that the safety of a patient's opioid therapy can be evaluated and improved."
Thrombolytic Therapy: Implications for Patient Management,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"tember 16, 2016","eptember 15, 2019",Universal Activity Number (UAN) - 0607-0000-16-003-H01-P,"Clinicians play an important role in managing patients with these conditions who are eligible for high-risk pharmacologic therapies, such as thrombolytics. Specific knowledge of the general information and caveats associated with thrombolytic therapy is vital for optimal patient care outcomes to be achieved. This course is designed for clinicians who provide care to patients currently prescribed thrombolytic medications."
Telepharmacy: Serving Underserved Populations in a Community Setting,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 1, 2019","pril 1, 2022",Universal Activity Number (UAN) - 0607-0000-18-044-H04-P,"Telepharmacy is a growing practice model in many states and a hot topic within the pharmacy community and among lawmakers and regulators. Rapidly advancing technology allows pharmacists to serve underserved populations remotely. Yet telepharmacy practice is still in its infancy; its relative newness and the many variations among state regulations leaves many pharmacists, pharmacy technicians, and other healthcare stake holders unclear about the details and various uses of telepharmacy practice. This course reviews the current landscape of telepharmacy practice and regulations, telepharmacy technology and workflow, remote oversight of advanced pharmacy technicians, and patient care through telepharmacy."
"Review of Immunization Practice, 2018/2019",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ch 13, 2019","arch 13, 2022",Universal Activity Number (UAN) - 0607-0000-19-002-H06-P,"Immunizations are vital to the public health goal of preventing diseases that can cause significant death and disability. Vaccines can protect not only the person immunized, but also those with whom they come into contact. The purpose of this course is to provide information on immunizations, including updated recommendations provided by the Advisory Committee on Immunization Practices. The course begins with background on current immunization practice and then presents information about general contraindications and precautions. An overview of immunizations for children, adolescents, adults, and special populations is presented, along with recent updates, including the influenza vaccine for 2018/2019."
Regulation of Dietary Supplements,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals," 8, 2017","ay 8, 2020",Universal Activity Number (UAN) - ,"Pharmacists who are knowledgeable about the regulation of dietary supplements are better equipped to assist patients in their use of these products. Dietary supplements are regulated as a category of food under the DSHEA legislation and manufacturers are responsible for product quality and appropriate labeling and advertising of their products. Manufacturers may make three types of claims on their product labels: health claims, nutrient content claims, and structure-function claims. The FDA does not review or approve products before marketing; instead, action is taken against manufacturers that market unsafe, contaminated, or adulterated products. Healthcare providers can assist patients in the safe use of dietary supplements by recommending products only from manufacturers that have a strong reputation for ethical practice or by looking for a certification mark from one of the independent testing programs before recommending a product."
QTc Interval Prolongation: Implications for Patient Management,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"tember 16, 2016","eptember 15, 2019",Universal Activity Number (UAN) - 0607-0000-16-006-H01-P,"Several of the most commonly used medications have the potential to cause QTc interval prolongation, increasing the risk of torsade de pointes. The propensity of a medication to cause QTc interval prolongation is a common reason for drug withdrawal from the U.S. market. Pharmacologists play an important role in managing care for patients being treated with these drugs in a variety of settings. Specific knowledge of the general information and caveats associated with QTc interval prolonging medications in general is necessary. Furthermore, the ability to compare and contrast these agents is vital for optimal patient management and to reduce the risk of negative outcomes."
"ACL Injury, Surgery, and Rehabilitation: A Science-Based Approach 2nd Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 5, 2018","pril 5, 2021",Texas PTs and PTAs,"The purpose of this intermediate-level course is to provide physical therapists and physical therapist assistants with an overview of the etiology and risk factors of isolated ACL injuries; to discuss pertinent clinical examination, classification, and prognosis after ACL injuries and reconstruction; and to review interventions relevant to successful outcomes after injury or surgery."
"Protecting Patient Safety: Preventing Medical Errors, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"y 27, 2017","uly 27, 2020",Florida Pharmacists,"This course provides pharmacists with information concerning the current state of medical errors, the impact of medical errors on the safety of patients, and the importance of establishing and working in a culture of safety. Contributing causes and types of medical errors are reviewed. Strategies to reduce or prevent medical errors and improve patient outcomes are presented. Methods to identify, analyze, and report medical errors are reviewed, populations at risk for medical errors are identified, and patient safety initiatives including education for the pharmacists are explored."
Probiotics: From Dietary Sources to Supplements,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals," 25, 2017","ay 25, 2020",Universal Activity Number (UAN) - 0607-0000-17-021-H01-P,"Consumers have difficulty evaluating the literature and making appropriate choices with regard to the uses, dosing, adverse effects, interactions, and product quality of probiotics. Unfortunately, many patients purchase products online or from a store where no pharmacist or healthcare professional is present. Several myths regarding probiotic use are perpetuated on reports found on the Internet. Pharmacists who are knowledgeable about probiotics can assist patients in the appropriate use of these products to achieve better health."
Yoga Benefits for Nurses and Patients,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"une 28, 2018","une 30, 2021","Christina Jackson, PhD, MSN, APRN, APHN-BC","This course provides a history of the science and practice of yoga and the many physical and mental health benefits for nurses and patients. Yoga helps promote mind-body-spirit health and through consistent practice the benefits accrued are numerous. It is important to learn and practice yoga postures, proper breathing and meditation to help promote a balance of all three. People will join yoga classes with different objectives and it is important for nurses to be aware of local resources to guide patients. Various types of yoga will be discussed along with the importance of the role of a yoga teacher for safe practice."
Wound Management: A Comprehensive Guide for Nurses,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 10, 2017","anuary 31, 2020","Linda Stricker, MSN, RN, CWOCN, ","Wound management and the promotion of healing are complicated and challenging to those suffering with such maladies. Whether wounds are acute or chronic, nurses are the clinicians most intimately involved with the assessment, care, and ongoing evaluation of wounds. Changes in care based on evidence from research, regulatory changes requiring quality outcomes to be measured, and a reimbursement culture that demands assessment, documentation, and progress for payment all affect nursing practice with the central goal of providing the best care for each patient. Clinicians must use evidence-based practices to promote healing and carry the responsibility to stay current regarding research and updated treatment modalities."
Women's Reproductive Health Issues,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"arch 9, 2018","une 30, 2020",6 Contact hours | 1.5 Pharmacology hours,"  The field of Women's health has greatly expanded beyond its original roots in reproductive health. It is an exciting time for women and for nursing professionals who work with women. Links are forming worldwide, and with a more global perspective, it becomes clear that the health of women is integrally tied to the social, economic, political, and religious forces that shape cultures and societies. With education, women become empowered to make better decisions about their health and the health of their families. Nurses and other healthcare providers play an important role in this educational process."
"Women's Health: Contemporary Advances and Trends, 4th Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"une 27, 2017","une 30, 2020","Rosemary Theroux, RNC, PhD, WHNP-BC, ","The field of Women's health has greatly expanded beyond its original roots in reproductive health. It is an exciting time for women and for nursing professionals who work with women. Links are forming worldwide, and with a more global perspective, it becomes clear that the health of women is integrally tied to the social, economic, political, and religious forces that shape cultures and societies. With education, women become empowered to make better decisions about their health and the health of their families. Nurses and other healthcare providers play an important role in this educational process. This course also provides information that nurses can use to educate female patients; support them in their decision-making concerning health matters; and assist them in feeling empowered as individuals, as mothers, as family members, and as valued members of our society."
"Women and Cardiovascular Disease, 3rd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 24, 2017","pril 30, 2020",10 Contact hours | 0.5 Pharmacology hours,"  The realization that cardiovascular disease (CVD) in women cannot be fully explained using the historical reference of CVD in men has finally come to fruition. As healthcare professionals, we now understand that the concept of CVD in women is an independent field of research, study, and practice. Nursing practice has traditionally been based on evidence gained in studies related to men, and the literature shows a knowledge and application gap between clinicians' assessment of CVD in female patients and recent and ongoing research demonstrating differences between its presentation in men and women."
"Understanding Posttraumatic Stress Disorder: From Assessment to Treatment, 2nd Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ovember 15, 2017","ovember 30, 2020",West Virginia RNs and LPNs,"With the high prevalence of trauma exposure within the United States, nurses are providing care to many trauma-exposed patients who are at risk of developing PTSD, and nurses may not have the comfort level or skills needed to assess and intervene appropriately. It is essential for registered nurses, advanced practice registered nurses, and certified nurse specialists to routinely assess for the presence of traumatic experiences, as well as possible PTSD symptoms, in all encounters with patients and families so that interventions and referrals to treatment can be provided."
Understanding Mindfulness Practice for Nurses and Patients,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ovember 28, 2018","ovember 30, 2021","Ruth McCaffrey, DNP, FNP-BC, GNP-BC, FAANP, FAAN","Mindfulness, the practice of maintaining a moment-by-moment awareness, is a holistic way to reduce stress and improve overall wellbeing. This course provides the learner with an overview of mindfulness techniques, the neurobiological underpinnings of how mindfulness works in the brain, and evidence of the effectiveness of mindfulness in different areas of life. It also discusses methods to foster mindfulness and describes how nurses can begin a mindfulness practice for themselves and their patients, including suggestions for guided sessions."
Understanding Hypertension: Treatment and Management,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"eptember 22, 2016","eptember 30, 2019",Kentucky APRNs,"Hypertension (HTN) is a common disease that affects millions of Americans without any warning. It is defined as a persistent elevated blood pressure and is a significant risk factor for cardiovascular disease, thus early detection is imperative. Increasing screening and diagnosis of HTN, and improving control of BP with appropriate treatment are important preventative measures to reduce CV morbidity and mortality. Therefore, a systematic understanding of the management of HTN is essential for advanced practice registered nurses (APRNs) working in direct patient care to help further improve HTN control."
Traumatic Brain Injury 2nd Edition,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"arch 29, 2018","arch 31, 2021","Esther Bay, PhD, ACNS, BSN","Approximately 2.8 million people sustain a traumatic brain injury (TBI) each year in the United States. For those who survive, treatment rarely ends upon exiting the emergency department. In fact, the complications and ramifications can be life-long."
"Transition to Menopause, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 26, 2018","ctober 31, 2021",25 Contact hours | 0.5 Pharmacology hours,"  This course is intended for Registered Nurses involved in the health care of women. The audience for this course includes, but is not limited to, nurses providing care to women in acute care facilities, private practices, public settings, home health environments, community outreach programs, and public arenas. The purpose of this course is to help the nurse take an individual approach to assisting women who are progressing through menopause and provide nursing care based on the most up-to-date standards and guidelines in order to help women make lifestyle choices."
"Texas Nursing Jurisprudence and Ethics, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 19, 2017","ctober 31, 2020",Texas Nurses,"Today, nursing is a tightly regulated profession of well-educated, organized, and dedicated nursing professionals who provide a variety of nursing services in numerous healthcare settings (Whelan, 2014). A nurse is required to know and abide by the laws and rules pertaining to the nursing profession. This course is specific to nursing jurisprudence and nursing ethics in the state of Texas. This course provides an overview of the Texas Nurse Practice Act (NPA); nursing peer review; the nurse licensure compact; Board rules and regulations, including sections 217.11 (Standards of Nursing Practice) and 217.12 (Unprofessional Conduct); Board Position Statements and Guidelines; and principles of nursing ethics and professional boundaries."
Topical Wound Care: Challenges and Interventions,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 24, 2017","anuary 31, 2020","Linda Stricker, MSN, RN, CWOCN, ","Wound healing is a complex process. The various treatments and myriad wound care products available can make wound management seem daunting. Most acute wounds heal uneventfully after a predictable wound healing process. However, chronic wound resolution is not as simple. Many factors influence the chronic wound healing process. These may include many local factors and systematic factors. The nurse must understand and consider the various influences when creating a wound care plan and selecting approaches to obtain the desired outcome."
Thrombolytic Therapy: Implications for Advanced Practice Nursing,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ecember 21, 2016","ecember 31, 2019","William L. Baker, PharmD, FCCP, FACC, BCPS-AQ Cardiology, ","Thrombolytic medications are commonly used to treat thromboembolic disorders, including acute ischemic cerebrovascular accident, ST-elevation myocardial infarction, and pulmonary embolism. These patient populations represent individuals at high risk of morbidity and mortality. The treatment of these conditions is often time sensitive and requires quick action to be taken. Thus, a working knowledge of thrombolytic drugs is important for nurses who may manage these patients. In addition, there are critical differences in terms of the pharmacology and pharmacokinetics of these agents that leads one option to be superior to another or drives the patient monitoring that needs to occur."
Thermal Injuries and Ulcers Resulting from Integumentary Alterations,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 24, 2017","anuary 31, 2020","Linda Stricker, MSN, RN, CWOCN, ","Integumentary injuries can result from a number of environmental factors and conditions intrinsic to the person. Edema, lymphedema, neuropathy, thermal insults and malignant conditions can cause tissue injury and in the presence of comorbid conditions produce wounds or ulcers that negatively affect a person's life and present a challenge to treat."
"The Psychobiology of Humor in Health Care, 3rd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 24, 2018","une 30, 2021","Mary Bennett, DNS, APRN","This continuing education course discusses the cognitive process of laughter and the connections of humor to health. It discusses how humor affects the biological, psychological, and sociological health of the individual. How humor can be used in times of stress or grief is also explored. The target population for this course is any healthcare provider who works with patients, and any healthcare provider who wants to improve his or her knowledge of therapeutic humor."
The Menstrual Cycle and a Woman's Sexual Health,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 10, 2018","une 30, 2020","Mary Fischer, PhD, MSN, WHNP-BC","The field of Women's sexual health has greatly expanded. It is an exciting time for women and for nursing professionals who provide care for women with sexual health concerns. With education, women become empowered to make better decisions about their sexual health. Nurses and other healthcare providers play a vital role in this educational process."
The Business of Health Care,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 7, 2019","anuary 31, 2022","Patricia M. Noga, PhD, MBA, RN, NEA-BC, FAAN","As the cost of healthcare in the United States continues to rise, changes to healthcare reimbursement have focused on the movement from fee-for-service payment to various reformed payment models. This course provides nurses with a foundation of the elements comprising the business of the healthcare industry, including how care is reimbursed. An overview of the current state of healthcare organizations and healthcare quality is provided as is content related to the cost of care, healthcare reform, care transitions, and consumer engagement. Enhanced awareness of the evolving healthcare industry in the effort to improve patient outcomes is essential for the nurse in any setting."
The Alzheimer's Disease Caregiver: Nursing Interventions and Support,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 25, 2017","eptember 30, 2020",Texas Nurses,"This course focuses on the needs and challenges of individuals who provide care to persons with AD and the important role that nurses play in preparing and supporting these caregivers. The course outlines nursing interventions for providing education, support, and anticipatory guidance to caregivers, including assessing their prospective care needs and identifying and discussing available programs and resources. The options and accompanying issues related to providing ongoing care for patients with AD are discussed, including necessary financial and legal planning and long-term care options."
"Substance Use Disorders, 3rd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ebruary 27, 2018","ebruary 28, 2021",30 Contact hours | 20 CCMC hours,"  This course focuses on the epidemiology of addiction, sociocultural influences, commonly used substances, and current standards of treatment and nursing care for patients with substance use disorders. Prevention practices, patient assessment, and therapeutic modalities, including pharmacologic, psychological, group, and nontraditional therapies, are described. Twelve types of substances are described, including their biochemistry and effects on the human body. This course uses terminology for substance-related and addictive disorders defined by the Diagnostic and Statistical Manual of Mental Disorders, 5th edition (APA, 2013)."
Special Topics in ADHD,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 10, 2018","arch 31, 2021","Roberta Waite, EdD, PMHCNS, FAAN, ANEF","This course addresses assessment and diagnosis throughout the various life stages, beginning with childhood, then adolescence, and finally young adulthood as a college student. Because nurses rarely see cases of ""pure"" ADHD, it is imperative that they understand the common comorbidities associated with ADHD and their effect on treatment and outcomes for patients. In addition, nurses will need to be able to use this information to conduct a careful differential diagnosis."
Special Populations at Risk for Substance Use,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ebruary 6, 2018","ebruary 28, 2021",Delaware (RNs and LPNs),"This course focuses on the epidemiology of sociocultural, family, and other external influences on the development of substance use disorders. The overall purpose of this course is to provide nursing professionals with an overview of the epidemiology and prevalence of substance use disorders so that they can offer early intervention and prevention of these disorders."
Recognizing and Reporting Impairment in the Workplace for Florida Nurses,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ovember 17, 2016","ovember 30, 2019",Florida Nurses:,"Despite the continual increase in rates of substance abuse across the country, nurses and other health professionals rarely report themselves for treatment of drug or alcohol abuse, even when it impairs their ability to practice. Florida, among other states, has mandated continuing educational credits on recognizing impairment in the workplace for nurses to maintain their licensure. As of the 2010 U.S. Census, the state of Florida employed over 213,000 registered nurses (including advanced practice nurses) and licensed practical nurses. With this in mind, Florida's population is at risk for having over 2,000 impaired nursing professionals in the workforce, yet there is currently a lack of knowledge regarding the identification of, reporting requirements for, and treatment options available to impaired professionals working in the healthcare arena."
Skin Cancer 2nd Edition,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"eptember 27, 2017","eptember 30, 2020","Suzanne Mahon, RN, DNSc, AOCN, AGN-BC, ","Skin cancer is a major public health problem. There are more than 5.4 million cases of basal cell skin cancer, squamous cell skin cancer, Merkel cell skin cancer, keratoacanthoma, dermatofibrosarcoma protuberans, and cutaneous lymphoma skin cancer annually, and the incidence rates of melanoma have been increasing for at least the past 30 years. However, most basal cell skin cancer, squamous cell skin cancer, Merkel cell skin cancers, keratoacanthomas, dermatofibrosarcoma protuberans, and cutaneous lymphoma skin cancers can be cured if the cancer is detected and treated early."
"Rotator Cuff Injury: Assessment, Interventions, and Recovery 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 29, 2018","anuary 31, 2021","Mary A. Smith, DNP, FNP-BC, ONP-C","The incidence of rotator cuff tears (RCTs) is expected to increase as the population over the age of 65 continues to grow, and will continue to contribute to disability, poor physical function, and increased healthcare costs. The purpose of this course is to educate RNs and APRNs on the anatomy and physiology of the rotator cuff, the pathophysiology of rotator cuff tears, symptoms, assessment, diagnostic testing, nonsurgical and surgical treatment, management and rehabilitation."
"Seizures: A Basic Overview, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ecember 20, 2017","ecember 31, 2020","Wendy R. Miller, PhD, RN, CCRN","Epilepsy is the fourth most common neurologic disorder in the United States, with as many as 3 million people affected. It is a chronic neurologic condition consisting of recurrent and unprovoked seizures that can be associated with a wide range of seizure types and can vary in severity from person to person. Epilepsy is associated with multiple comorbid conditions affecting mental and physical health. Patients with epilepsy (PWEs) experience seizures - a sudden surge of electrical activity in the brain that can affect the musculoskeletal system or how a person feels - with varying frequencies. However, experiencing a seizure does not constitute a diagnosis of epilepsy if there is an identifiable and alterable underlying cause, such as low blood sugar. This course will prepare RNs who are providing direct care to patients with a diagnosis of epilepsy. The target audience for the course is comprised of RNs providing care to patients in nonspecialized neurology units in a variety of settings (outpatient, acute care, and community)."
Reproductive Organ Cancers in Women,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 19, 2017","ugust 31, 2020",10 Contact hours | 0.3 Pharmacology hours,"  The experience of a woman diagnosed with cancer can be distinctive. Many cancers affect both males and females, but some are unique to women and impact women during childbearing years. The impact of a cancer diagnosis for either a man or a woman can be devastating and have a cascading impact on the immediate and extended family. Even though roles in society are evolving from what were historically female responsibilities, such as child care and household management, many women continue in these roles in addition to working outside the home and being head of households with financial responsibilities."
Regulation of Dietary Supplements,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"eptember 27, 2017","eptember 30, 2020","Martha Mathews Libster, PhD, MSN, APRN-CNS, APHN-BC, ","This course will provide nurses with the resources, caveats, and caring considerations when providing education and advice about dietary supplements. Evidence-based care in nursing includes clinical research, qualitative studies, traditional evidence, surveys, epidemiologic data, and patient preference. The regulation around dietary supplements has been created to ensure the safety of the public. But this is not always an easy task in a democratic society in which people demand their right to choose how they live their lives. The history of the regulation of dietary supplements documents the complexity of the exercise of the individual rights of U.S. citizens and the government's role in protecting public health and safety. This course is an introduction to the regulation of dietary supplements, the laws currently in effect, and how the FDA administers these laws. This course about the regulation or safety orientation of dietary supplements also provides considerations for nursing care that can be used when counseling patients who are consumers of dietary supplements."
Recognizing Mental Health Issues Co-occurring with Medical Conditions,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ecember 11, 2017","ovember 30, 2020",CCMs ,"Patients with a medical condition may display psychiatric symptoms or responses, and sometimes longer lasting mental health problems. All nurses practicing in a general healthcare setting must be prepared to assist patients with maintaining optimal mental health. This course is focused on those psychiatric and mental health issues related to a chronic medical condition that nurses working in a general or non-psychiatric nursing specialty area may encounter."
"Psychiatric Nursing: Current Trends in Diagnosis and Treatment, 3rd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ugust 24, 2018","ugust 31, 2021","Ann Harms, EdD, MSN, RN","Teaches psychiatric disorders, treatment modalities, therapeutic communication skills, medications, and cultural variances in how mental illness is perceived and treated in adults and children. Designed for the practicing registered nurse (RN) or licensed practical or vocational nurse (LPN or LVN), this course educates nurses by updating their mental health skills and knowledge of current psychiatric treatments. Also examines broad categories of psychiatric disorders reflective of Diagnostic and Statistical Manual of Mental Disorders, 5th ed. (DSM-5)."
Psychiatric Disorders in Primary Care Nursing,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 22, 2018","ctober 31, 2021","Ann Harms, EdD, MSN, RN","This course examines psychiatric disorders in primary care nursing using the Diagnostic and Statistical Manual of Mental Disorders, 5th ed. (DSM-5), (American Psychiatric Association, 2013). Substance use and depressive disorders are covered, with attention placed on the more commonly encountered diagnoses. Practical applications are emphasized."
"Youth Suicide, Updated 1st Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ecember 19, 2017","ecember 19, 2020","Edward A. Selby, PhD","Suicide and suicidal behaviors affect individuals, families, and communities, and addressing youth suicide has become a public health imperative. This intermediate-level course provides essential information on the tools needed to assess youth for suicide risk and to engage in interventions with these youth across various settings. Learners will become aware of 10 myths about youth suicide, which too often dictate how adults interact with youth who may be at heightened risk for suicide, both in public and in clinical practice."
"Treating the Mental Health Needs of Children Exposed to IPV, 2nd Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ovember 28, 2016","ovember 28, 2019",Florida,"Recent studies on intrafamilial violence indicate that a significant percentage of American children are exposed to intimate partner violence (IPV) and family violence, and as a result, experience negative outcomes well into adulthood and are in need of mental health services. Helping professionals are likely to encounter clients who have experienced IPV and children who have been exposed to family violence."
The Essentials of Play Therapy 1st Ed.,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 25, 2018","uly 25, 2021","Stephen Demanchick, PhD, LMHC, RPT","The Child Mind Institute (2015) reports that nearly 50% of children in the United States meet criteria for a mental health disorder, yet only 7.4% will receive mental health treatment - which could be due, in part, to a lack of training, knowledge, and experience in therapists on how to work with young children. Nonetheless, children suffering the effects of trauma, anxiety, and depression show up regularly in clinical spaces throughout this country. This basic-level course describes the therapeutic and developmental value of play and the two predominant models of treatment: child-centered play therapy and cognitive behavioral play therapy."
"Protecting Patient Safety: Preventing Medical Errors, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ecember 23, 2016","ecember 31, 2019",Florida Nurses - ,"The purpose of this course is to provide licensed practitioners with information concerning the current state of medical errors, the impact of medical errors on the safety of patients, and the importance of establishing and working in a culture of safety. Contributing causes and types of medical errors are reviewed. Strategies to reduce or prevent medical errors and improve patient outcomes are presented. Methods to identify, analyze, and report medical errors are reviewed, populations at risk for medical errors are identified, and patient safety initiatives including education for the public and healthcare professionals are explored."
Telemental Health: An Alternative to Traditional Psychotherapy,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 8, 2018","ctober 8, 2021","Leslie J. Shapiro, MSW, LICSW","Telemental health (TMH) is a broad term that refers to the provision of behavioral and mental health services using telecommunications or videoconferencing technology. Because technological advances in TMH are developing so rapidly, many practitioners may not have learned about how these advances can be integrated into clinical practice. Research has shown no evidence that TMH delivery of evidence-based mental health treatment is less effective than in-person delivery, even in the treatment of complex disorders like PTSD. This intermediate-level course provides a framework for understanding issues relating to TMH and offers introductory information for developing TMH clinical practices. Case vignettes are included."
Suicide Risk in Adults:  Assessment and Intervention,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ugust 4, 2016","ugust 4, 2019","April R. Smith, PhD, ","Suicide is the tenth leading cause of death in the United States across all ages and is disproportionately higher in some populations. The purpose of this course is to assist clinicians to understand factors that contribute to suicidal behavior, conduct comprehensive suicide risk assessments, and engage patients in brief, empirically supported interventions to reduce risk for death. This intermediate-level course is designed for mental health counselors, marriage and family therapists, and psychologists. This course meets an increasing demand of many mental health professionals seeking information about working with suicidal clients and conducting empirically supported suicide risk assessments."
Substance Use Disorders: Assessment and Treatment,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 17, 2018","anuary 17, 2021","S. Lala A. Straussner, PhD, LCSW, CEAP, BCD, CAS","Alcohol and drug abuse is a major public health concern, affecting every segment of society. Despite recent advancements in understanding addictions, substance abuse remains a significant problem for individuals, families, and communities in the United States and worldwide. This intermediate-level course is intended for marriage and family therapists and mental health counselors and aims to bring clinicians in varied settings up to date with current trends in use and abuse, and current treatment recommendations."
Substance Use in Different Populations and Contexts,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ay 1, 2018","ay 1, 2021","S. Lala A. Straussner, PhD, LCSW, CEAP, BCD, CAS","Alcohol and drug abuse is a major public health concern, affecting every segment of society. It needs to be considered within the context of problematic use of a variety of chemical substances. This intermediate-level course discusses the scope of substance-related problems in the US and the unique needs of various populations affected by substance use disorders including the effects of gender, sexual orientation and gender identity, age, co-occurring disorders, disabilities, and chronic pain conditions. The course also discusses substance use among military veterans, and incarcerated and homeless populations."
